,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
abad,0.5785827218767637,0.32240757941217874,0.09900969871105744,0.9999999999999999
abadi,0.12313842620164688,0.7527656829236113,0.12409589087474181,1.0
abil,0.7932816516870378,0.07347670915002948,0.1332416391629327,1.0
abjad,0.05656060453045473,0.03143312615823898,0.9120062693113064,1.0
absensi,0.04676182524255205,0.6524129373966333,0.30082523736081457,0.9999999999999999
absolut,0.05217812518411732,0.8954092488872714,0.052412625928611324,1.0
abstract,0.10147945703997872,0.40411508519895795,0.4944054577610635,1.0
abstractpada,0.7932721074328302,0.07348538081217396,0.133242511754996,1.0
abstrak,0.4578379062898808,0.4639724731092585,0.07818962060086072,1.0
abstraksemakin,0.1871877525651109,0.6241690136986309,0.18864323373625824,1.0
abstraksi,0.023074613236271618,0.14110261077097955,0.8358227759927488,1.0
acak,0.40553953386459296,0.14473729267164936,0.4497231734637576,1.0
acap,0.13361677535197528,0.07310214048658648,0.7932810841614383,1.0
acceler,0.1315374881006696,0.07310095950855947,0.7953615523907709,1.0
acceleromet,0.04815664897866008,0.024462327078255817,0.9273810239430841,1.0
accept,0.7727739772183273,0.19200827748002947,0.035217745301643254,1.0
access,0.3212271607155384,0.6248186773770866,0.05395416190737503,1.0000000000000002
account,0.05658016083042152,0.03186906733986097,0.9115507718297176,1.0
accuraci,0.4559315293101254,0.12501966197334433,0.4190488087165301,0.9999999999999998
accuracynya,0.8739271589560836,0.04576370170550494,0.08030913933841134,0.9999999999999999
achmad,0.0791845739684202,0.045228035903352504,0.8755873901282273,1.0
aclam,0.18718775208732977,0.6241690146567747,0.18864323325589544,0.9999999999999998
acnekomedo,0.19862441252706203,0.61377774882663,0.18759783864630789,0.9999999999999999
acommerc,0.0933377675722491,0.811582992198687,0.09507924022906396,1.0
action,0.1029568810948413,0.31731925232419533,0.5797238665809634,1.0
actionplatform,0.13005562887740915,0.7456752884680556,0.12426908265453533,1.0000000000000002
actionscript,0.79328165147073,0.07347670920173889,0.1332416393275311,1.0
activ,0.060829119085366985,0.09022713456873205,0.848943746345901,1.0
actor,0.7891459827574888,0.07723434376674346,0.13361967347576773,1.0
acuan,0.2566771263166833,0.3839175070442645,0.35940536663905215,1.0
acuannya,0.7932816516506278,0.07347670915841789,0.1332416391909545,1.0000000000000002
acut,0.9700220736283341,0.010586127329611601,0.01939179904205424,1.0
ad,0.19073714474403428,0.6152600168034322,0.19400283845253358,1.0
adaboost,0.030490869331599425,0.01694805539304353,0.9525610752753569,0.9999999999999999
adadari,0.18718775226878162,0.6241690142935648,0.18864323343765352,0.9999999999999999
adalahdata,0.18718775253724437,0.6241690137508986,0.188643233711857,1.0
adalahnaã,0.18718775196930834,0.6241690149030839,0.18864323312760783,1.0
adamenunjukkan,0.13210432470880112,0.07871394232282675,0.7891817329683721,1.0
adanhya,0.1332037681361257,0.08960096256044148,0.7771952693034327,0.9999999999999999
adapengadilan,0.13174843135725514,0.07518975913439438,0.7930618095083505,1.0
adapt,0.4424765683563907,0.013306236702550557,0.5442171949410588,1.0
adaptif,0.8586938259882192,0.12707263724316276,0.014233536768617952,0.9999999999999999
adaptivita,0.1956463092774317,0.614095946070047,0.19025774465252124,0.9999999999999999
adat,0.7932816519190026,0.07347670909389858,0.13324163898709881,1.0
adatif,0.1923250681976662,0.6195012849242449,0.1881736468780889,1.0
addi,0.9432758208026466,0.020162245160420592,0.03656193403693279,1.0
addit,0.009808070098477823,0.9803478757790727,0.009844054122449486,1.0
adiwiyata,0.132026612181358,0.07794437705516372,0.7900290107634783,1.0
adjac,0.1871877527076068,0.6241690134021736,0.18864323389021972,1.0
adjectiv,0.7932816518455953,0.07347670911130755,0.13324163904309716,1.0
adjust,0.7871564616863901,0.0766193873031557,0.13622415101045424,1.0
